,country,date,cases
43157,China,6/9/22,2102379
43158,China,7/1/20,88344
43159,China,7/1/21,113614
43160,China,7/1/22,2137169
43161,China,7/10/20,88612
43162,China,7/10/21,114006
43163,China,7/10/22,2164305
43164,China,7/11/20,88657
43165,China,7/11/21,114074
43166,China,7/11/22,2167619
43167,China,7/12/20,88708
43168,China,7/12/21,114112
43169,China,7/12/22,2170811
43170,China,7/13/20,88766
43171,China,7/13/21,114156
43172,China,7/13/22,2174317
43173,China,7/14/20,88828
43174,China,7/14/21,114193
43175,China,7/14/22,2178366
43176,China,7/15/20,88852
43177,China,7/15/21,114236
43178,China,7/15/22,2182488
43179,China,7/16/20,88935
43180,China,7/16/21,114286
43181,China,7/16/22,2186813
43182,China,7/17/20,89015
43183,China,7/17/21,114330
43184,China,7/17/22,2190992
43185,China,7/18/20,89109
43186,China,7/18/21,114386
43187,China,7/18/22,2195056
43188,China,7/19/20,89280
43189,China,7/19/21,114464
43190,China,7/19/22,2198945
43191,China,7/2/20,88360
43192,China,7/2/21,113667
43193,China,7/2/22,2139919
43194,China,7/20/20,89376
43195,China,7/20/21,114489
43196,China,7/20/22,2203789
43197,China,7/21/20,89454
43198,China,7/21/21,114589
43199,China,7/21/22,2209013
43200,China,7/22/20,89614
43201,China,7/22/21,114648
43202,China,7/22/22,2214254
43203,China,7/23/20,89768
43204,China,7/23/21,114711
43205,China,7/23/22,2219264
43206,China,7/24/20,89957
43207,China,7/24/21,114763
43208,China,7/24/22,2224482
43209,China,7/25/20,90192
43210,China,7/25/21,114853
43211,China,7/25/22,2229362
43212,China,7/26/20,90432
43213,China,7/26/21,114935
43214,China,7/26/22,2234541
43215,China,7/27/20,90658
43216,China,7/27/21,115032
43217,China,7/27/22,2240160
43218,China,7/28/20,90875
43219,China,7/28/21,115090
43220,China,7/28/22,2245156
43221,China,7/29/20,91074
43222,China,7/29/21,115170
43223,China,7/29/22,2250565
43224,China,7/3/20,88372
43225,China,7/3/21,113694
43226,China,7/3/22,2142216
43227,China,7/30/20,91359
43228,China,7/30/21,115248
43229,China,7/30/22,2255689
43230,China,7/31/20,91500
43231,China,7/31/21,115341
43232,China,7/31/22,2260777
43233,China,7/4/20,88395
43234,China,7/4/21,113735
43235,China,7/4/22,2144566
43236,China,7/5/20,88415
43237,China,7/5/21,113771
43238,China,7/5/22,2147330
43239,China,7/6/20,88444
43240,China,7/6/21,113854
43241,China,7/6/22,2150503
43242,China,7/7/20,88485
43243,China,7/7/21,113910
43244,China,7/7/22,2153986
43245,China,7/8/20,88524
43246,China,7/8/21,113943
43247,China,7/8/22,2157433
43248,China,7/9/20,88571
43249,China,7/9/21,113992
43250,China,7/9/22,2160884
43251,China,8/1/20,91690
43252,China,8/1/21,115473
43253,China,8/1/22,2265424
43254,China,8/10/20,92919
43255,China,8/10/21,116710
43256,China,8/10/22,2311307
43257,China,8/11/20,92986
43258,China,8/11/21,116803
43259,China,8/11/22,2316346
43260,China,8/12/20,93091
43261,China,8/12/21,116944
43262,China,8/12/22,2322331
43263,China,8/13/20,93210
43264,China,8/13/21,117016
43265,China,8/13/22,2330459
